,Ticker,Description,Price,Market Capitalization,Price to Earnings Ratio (TTM),Basic EPS (TTM),Number of Employees,Sector,Free Cash Flow (Annual YoY Growth),Free Cash Flow Margin (FY),Free Cash Flow (Quarterly YoY Growth),3-Month Performance,Basic EPS (FY),EPS Diluted (TTM),EBITDA (TTM),Gross Profit (MRQ),Gross Profit (FY),Total Revenue (FY),EPS Diluted (FY),Last Year Revenue (FY),Net Income (FY),Current Ratio (MRQ),Debt to Equity Ratio (MRQ),Net Debt (MRQ),Quick Ratio (MRQ),Total Assets (MRQ),Total Debt (MRQ),Total Current Assets (MRQ),Dividend Yield Forward,Dividends Paid (FY),Dividends per Share (FY),Gross Margin (TTM),Operating Margin (TTM),Pretax Margin (TTM),Net Margin (TTM),6-Month Performance,YTD Performance,Yearly Performance,1-Year Beta,Volatility,Price to Revenue Ratio (TTM),Enterprise Value/EBITDA (TTM),Enterprise Value (MRQ),Total Shares Outstanding
92,ADI,"Analog Devices, Inc.",168.93,86035362200.61278,32.41063975,5.3091,24450.0,Electronic Technology,57.90353154,31.43090372,4.30608423,16.41513335,5.2936,5.2708,5826105000.0,1874092000.0,6510428000.0,12013953000.0,5.2536,12013953000.0,2748561000.0,2.02156752,0.19030496,5468960000.0,1.44845588,50302350000.0,6939532000.0,4937992000.0,1.7795469,-1544552000.0,2.97,54.1905566,29.37089899,25.79291762,22.87807352,-1.21052632,2.02935314,9.60939528,1.029933,1.66924082,7.33370343,15.87200788,80191800000.0,509296000.0
98,MO,"Altria Group, Inc.",44.5,79751679927.7526,17.14507671,2.5788,6000.0,Consumer Non-Durables,1.0056414,39.01283691,-0.066357,-4.13614821,1.3355,2.5745,12183000000.0,3697000000.0,13992000000.0,21111000000.0,1.3355,21111000000.0,2464000000.0,0.49648018,-6.21242911,23793000000.0,0.35988638,33953000000.0,26291000000.0,4020000000.0,8.518351,-6446000000.0,3.52,67.81692523,57.83190759,33.66197864,22.64752791,1.13636364,-2.68970042,-10.91091091,0.46954253,1.58535315,3.83779711,8.4461543,96436600000.0,1792170000.0
100,DUK,Duke Energy Corporation (Holding Company),101.64,78269178725.4814,20.43822056,4.9701,27605.0,Utilities,-50.43572985,-5.50264972,-308.43507214,8.62455915,4.9441,4.9701,11259000000.0,2392000000.0,7105000000.0,25097000000.0,4.9441,25097000000.0,3908000000.0,0.76702933,1.41691426,73302000000.0,0.56084437,176340000000.0,73919000000.0,12972000000.0,3.9574718,-3114000000.0,3.9,26.57103094,21.34318239,13.98850944,13.92427649,-7.11021751,-1.51162791,-1.50208354,0.5647183,0.97855095,2.79115726,13.79438449,148713000000.0,770063000.0
101,TGT,Target Corporation,168.68,77645103300.59843,23.07155179,7.3609,450000.0,Retail Trade,-35.48755714,4.79317013,-216.60194175,1.34583033,14.2307,7.3038,7535000000.0,6241000000.0,28698000000.0,106005000000.0,14.0978,106005000000.0,6946000000.0,0.85746121,1.75360741,18369000000.0,0.13774545,55615000000.0,19323000000.0,20393000000.0,2.5636463,-1548000000.0,3.38,23.27241287,4.45360142,4.03969794,3.17142042,2.61589001,12.47207868,-21.28424098,1.3852905,2.32291541,0.71684288,12.7320306,95847000000.0,460310000.0
102,EOG,"EOG Resources, Inc.",132.1,77594158543.60017,10.58082157,12.8208,2800.0,Energy Minerals,220.20312582,24.98356677,174.46153846,-4.68287755,8.0275,12.7268,17752000000.0,4244000000.0,8861000000.0,19777000000.0,7.9863,19777000000.0,4664000000.0,1.77532196,0.22302822,47000000.0,1.62356422,40487000000.0,5319000000.0,10201000000.0,2.4506164,-2684000000.0,4.9875,55.11469312,48.00234208,32.86147276,25.71812358,21.68386146,3.203125,20.36446469,0.9028727,2.46537818,2.72251223,4.45836389,65632500000.0,587390000.0
103,ZTS,Zoetis Inc.,164.7,76762053508.25644,37.75456561,4.3915,12100.0,Health Technology,3.76569038,22.32510288,-30.33707865,8.78467635,4.2943,4.3751,3297000000.0,1358000000.0,5312000000.0,7776000000.0,4.273,7776000000.0,2037000000.0,2.27465278,1.44766195,4242000000.0,1.475,13674000000.0,6749000000.0,6551000000.0,0.9081003,-474000000.0,1.075,68.07793181,35.39403022,32.0969152,25.81491195,-8.31663327,10.78972151,-12.78792693,1.0533556,1.1048712,9.67727463,24.63656902,73803800000.0,466072000.0
105,SO,Southern Company (The),67.43,73409210380.61148,21.55035812,3.1751,27300.0,Utilities,-36.79927667,-6.51312957,-511.61825726,2.52394709,2.2554,3.1554,9877000000.0,2454000000.0,6560000000.0,23230000000.0,2.2406,23230000000.0,2408000000.0,0.80954613,1.58603505,54641000000.0,0.60010937,134005000000.0,56650000000.0,10363000000.0,4.0,-2777000000.0,2.62,25.53206685,20.55420654,13.89801457,12.1804028,-11.1477138,-5.599888,-0.83823529,0.51843554,1.2310887,2.6419083,13.4807891,133104000000.0,1088670000.0
107,BDX,"Becton, Dickinson and Company",250.13,71103950618.52235,42.03866315,6.0319,77000.0,Health Technology,-51.89690125,8.80233174,35.18518519,5.55790007,5.9262,5.9902,4870000000.0,2076000000.0,8477000000.0,18870000000.0,5.8776,18870000000.0,1779000000.0,1.04224811,0.65528835,15400000000.0,0.62949686,52934000000.0,16567000000.0,8141000000.0,1.4454769,-1082000000.0,3.48,45.70795548,14.26215993,10.25350371,9.31574608,2.92992058,-4.77042565,1.59570777,0.7193059,1.36640487,3.71831537,17.86167629,79259300000.0,284268000.0
108,ITW,Illinois Tool Works Inc.,229.95,70637505415.74521,26.3315906,8.7907,45000.0,Producer Manufacturing,-12.05756515,15.64164649,11.67883212,6.95348837,8.5497,8.7602,4053000000.0,1607000000.0,5833000000.0,14455000000.0,8.5145,14455000000.0,2694000000.0,1.41074681,2.53085601,6854000000.0,0.9537796,15226000000.0,7628000000.0,6196000000.0,2.2716434,-1463000000.0,4.72,39.60358056,23.26086957,22.46163683,17.49360614,11.91414805,4.21481985,0.16116386,1.0121968,1.29498602,4.56767896,19.17435964,62802300000.0,307186000.0
109,APD,"Air Products and Chemicals, Inc.",313.9,69643725624.37848,31.15949216,10.1058,21900.0,Process Industries,-71.97474168,1.92213805,-19.00905193,24.10057721,10.1059,10.082,3695500000.0,946800000.0,3360800000.0,12699400000.0,10.0832,12699400000.0,2243500000.0,1.81282821,0.60769646,5025200000.0,1.66446419,27192600000.0,8326900000.0,6282900000.0,2.228235,-1383300000.0,6.36,26.46424241,18.56229428,21.69157598,17.66618895,27.93967801,1.23846997,14.15790814,0.77914506,1.5221623,5.50406909,20.37147669,57366000000.0,221866000.0
112,MU,"Micron Technology, Inc.",61.71,67336501532.87506,11.58051239,5.565,48000.0,Electronic Technology,27.72764561,10.12419533,-323.77414562,12.01669995,7.812,5.5153,14281000000.0,893000000.0,13951000000.0,30758000000.0,7.7424,30758000000.0,8687000000.0,3.51279693,0.22210279,370000000.0,2.23172414,67874000000.0,10951000000.0,22921000000.0,0.69672775,-461000000.0,0.43,41.33893062,25.46398586,25.31300633,22.77949624,-1.264,22.05300633,-20.24040326,1.1457356,3.53379802,2.56364339,4.90605999,60854100000.0,1091180000.0
113,NOC,Northrop Grumman Corporation,439.28,67233285739.1671,13.88615668,31.7086,95000.0,Electronic Technology,-31.87732342,4.00524561,128.34978843,-20.07568866,31.6075,31.517,4943000000.0,1824000000.0,7474000000.0,36602000000.0,31.4653,36602000000.0,4896000000.0,1.06222491,0.97962382,12423000000.0,0.97781997,43755000000.0,15000000000.0,12308000000.0,1.5811722,-1052000000.0,6.76,20.4196492,9.8382602,15.94448391,13.37631823,-8.48333333,-19.38633194,18.58010528,0.43800074,2.78585993,1.84735602,16.06449701,96719700000.0,153053000.0
118,LRCX,Lam Research Corporation,478.63,65275248354.92791,12.98130819,37.3122,17700.0,Producer Manufacturing,-21.16124798,14.86231332,-24.97701636,15.89104116,32.9186,37.1981,6364627000.0,2375070000.0,7838160000.0,17181982000.0,32.748,17181982000.0,4605286000.0,3.01496001,0.60246874,415437000.0,1.95490972,19206381000.0,5003283000.0,13708788000.0,1.4289265,-815290000.0,6.0,45.26477799,31.71150532,30.49730188,26.94729384,-5.47260734,11.38183003,-13.54539215,1.8121827,2.19154644,3.46156353,10.44543279,56603500000.0,136379000.0
120,ETN,"Eaton Corporation, PLC",160.87,63978003129.82957,28.41032466,5.7438,85947.0,Producer Manufacturing,-37.84735812,8.09048298,151.05740181,5.8633851,5.3775,5.7106,4031000000.0,1771000000.0,6315000000.0,19628000000.0,5.3386,19628000000.0,2144000000.0,1.28363144,0.58715767,8937000000.0,0.76837517,34364000000.0,9455000000.0,8540000000.0,1.9970413,-1219000000.0,3.04,32.89695527,15.25835565,13.30953089,11.36070614,8.89460502,1.76492915,4.08929149,0.85723186,1.22953371,3.22050342,18.23241185,62356000000.0,397700000.0
123,WM,"Waste Management, Inc.",153.1,62844041398.64228,28.35036225,5.4124,48500.0,Industrial Services,37.43647657,13.57425687,-40.97222222,-3.74096196,4.3197,5.383,5455000000.0,1416000000.0,4821000000.0,17931000000.0,4.2942,17931000000.0,1816000000.0,0.8513302,2.00556189,13882000000.0,0.80985915,29841000000.0,14063000000.0,3264000000.0,1.7036891,-970000000.0,2.3,27.16938429,17.17504244,15.0043722,11.54775989,-6.68048275,-2.73807255,4.60508336,0.54605556,1.56516045,3.25221558,14.028764,80259000000.0,410477000.0
129,MPC,Marathon Petroleum Corporation,129.14,60522866002.37289,5.8326894,22.9335,17700.0,Energy Minerals,886.95652174,2.41782646,218.8852459,13.43991567,2.7066,22.7768,20558000000.0,6385000000.0,6841000000.0,119777000000.0,2.6897,119777000000.0,1716000000.0,1.65548466,0.82593634,16761000000.0,1.19409778,89694000000.0,27896000000.0,35285000000.0,2.2581859,-1484000000.0,2.32,11.55700461,10.01641751,9.97999838,6.91847895,36.67054715,11.66450497,79.86072423,0.63682264,3.48035036,0.37938272,4.20729633,73301000000.0,468661000.0
133,ATVI,"Activision Blizzard, Inc",75.96,59448218654.58452,35.96038303,2.1448,9800.0,Technology Services,7.35970561,26.51368852,-51.40562249,3.68550369,3.4736,2.1304,2401000000.0,1280000000.0,6479000000.0,8803000000.0,3.4426,8803000000.0,2699000000.0,5.75504829,0.1919396,-7298000000.0,5.75504829,25620000000.0,3610000000.0,13110000000.0,0.6134969,-365000000.0,0.47,71.115944,27.33451135,26.13837162,22.75383988,-4.50088006,-0.82903584,-3.60406091,0.31150407,1.6350211,8.21602419,21.93208043,51356300000.0,782625000.0
136,OXY,Occidental Petroleum Corporation,64.13,58288663544.14727,5.54347554,12.8709,11678.0,Energy Minerals,432.67605634,29.13488945,26.72623883,-13.36125372,1.6171,12.0033,20118000000.0,4539000000.0,7604000000.0,25962000000.0,1.577,25962000000.0,2312000000.0,1.10258349,0.76211699,20624000000.0,0.85847511,72144000000.0,21888000000.0,8749000000.0,0.7814848,-839000000.0,0.04,46.65883143,36.50380569,38.46821133,35.95533915,-0.8350085,2.93739968,70.33200531,0.73902184,3.85515842,1.86664288,4.51660934,91989600000.0,908914000.0
137,SCCO,Southern Copper Corporation,74.59,57665419332.29727,22.44357508,3.323,14700.0,Non-Energy Minerals,55.15652095,31.09629508,-62.95273174,52.84836066,4.3941,3.323,5400600000.0,817400000.0,6190300000.0,10934100000.0,4.3941,10934100000.0,3397100000.0,3.3400458,0.97273204,5235200000.0,2.63065733,17083200000.0,7420000000.0,4959300000.0,4.692947,-2473800000.0,3.2,46.96009471,45.72940814,42.90191319,25.55888293,58.70212766,22.35892388,17.835703,0.74717456,3.36490716,5.73635231,11.6568693,39962200000.0,773098000.0
138,MCO,Moody's Corporation,314.2,57561436622.82684,38.1496956,8.4188,13460.0,Commercial Services,-8.57282026,30.18655516,-32.50620347,16.84641131,11.8777,8.377,2440000000.0,799000000.0,4324000000.0,6218000000.0,11.7829,6218000000.0,2214000000.0,1.803485,3.27942387,6224000000.0,1.803485,13939000000.0,7969000000.0,3726000000.0,0.87615,-463000000.0,2.48,64.89417527,37.09987756,34.09130663,27.1995802,1.62364965,10.82892416,-3.80552919,1.4376955,1.96866724,10.28000035,26.61723466,51106900000.0,183200000.0
139,NTES,"NetEase, Inc.",89.58,57490655287.38277,18.04844427,5.1328,32064.0,Technology Services,4.74215981,26.62476322,13.44611603,50.93513058,3.9294,5.078,3475796340.0,2005450998.65547,7283019303.10884,13583681028.2766,3.8808,13583681028.2766,2613723910.63666,2.30747472,0.2644391,-12703657631.9944,2.29111618,24355210824.6838,4088943620.2616696,18557089068.1405,1.6497544,-543988539.041162,1.16,54.86898979,20.75591655,27.19820509,22.38651818,-1.12582781,17.54362944,-5.85391487,0.496648,2.88966725,4.13836646,13.05921885,37702300000.0,622302800.0
142,EPD,Enterprise Products Partners L.P.,25.59,55672833242.31813,11.47193635,2.3197,6911.0,Industrial Services,126.99294185,15.24197196,-67.64878883,1.3866878,2.1056,2.3126,8740400000.0,1620000000.0,6748500000.0,41566800000.0,2.0865,41566800000.0,4600700000.0,0.8592696,1.08072157,28914000000.0,0.61324339,68441000000.0,29655000000.0,11082000000.0,7.3878627,-3930400000.0,1.8,11.85129545,11.62524118,9.42361502,9.00176572,-3.36102719,6.27076412,8.20295983,0.5328001,4.36664044,1.03841623,10.0365966,82298200000.0,2175570000.0
143,KLAC,KLA Corporation,387.68,54941358693.2691,16.41835837,24.4606,14000.0,Electronic Technology,53.8540533,32.66295302,-20.27746458,19.84666749,22.0727,24.3246,4628009000.0,1742918000.0,5552375000.0,9201195000.0,21.9182,9201195000.0,3321807000.0,2.30310228,2.39175342,3360006000.0,1.57506947,13729074000.0,6226356000.0,8020556000.0,1.3020507,-638528000.0,4.2,60.32013141,40.49090479,38.37901704,33.89631385,1.19286889,0.95833333,9.96454404,1.5570831,3.16439347,5.42774206,12.95547434,56885400000.0,141718000.0
144,PXD,Pioneer Natural Resources Company,229.83,54607318185.14464,8.36032244,29.423,1932.0,Energy Minerals,694.1011236,15.81980974,95.57613169,-11.94252874,9.0687,28.036,13202000000.0,2614000000.0,6836000000.0,17870000000.0,8.6138,17870000000.0,2113000000.0,1.02709832,0.24349645,3760000000.0,0.9263789,35746000000.0,5588000000.0,4283000000.0,11.118222,-1594000000.0,2.3,44.25257212,42.93322574,36.61085334,28.68670567,0.82031935,1.97896792,7.54293201,0.87832445,2.30010475,2.3642324,4.5031638,57892500000.0,237599000.0
146,MAR,Marriott International,171.2,54191582112.60023,26.60145878,6.5842,120000.0,Consumer Services,-33.90957447,7.17326983,39.30434783,5.40573821,3.3588,6.5534,3397000000.0,1176000000.0,2581000000.0,13857000000.0,3.3374,13857000000.0,1099000000.0,0.51799775,9.80714958,9380000000.0,0.51799775,24763000000.0,10425000000.0,3684000000.0,0.9177996,0.0,0.0,20.62603648,16.12769486,14.36048922,11.1577529,7.47018205,14.24758091,11.16883117,1.0412601,1.92948606,2.94254151,19.00569653,55023600000.0,316540000.0
148,MCK,McKesson Corporation,378.69,53695777528.02271,26.87398567,14.2508,75000.0,Distribution Services,-1.14529531,1.66763901,-38.66295265,-2.39948454,7.3145,14.1103,4180000000.0,3007000000.0,12649000000.0,263966000000.0,7.2291,263966000000.0,1114000000.0,0.96052278,-5.77421938,4296000000.0,0.54949645,63081000000.0,7212000000.0,46448000000.0,0.56962025,-277000000.0,1.83,4.58520662,1.22009948,1.16679594,0.75764538,12.68858801,1.59628696,48.46512722,0.48679867,1.28186324,0.20087241,14.0148546,53789300000.0,141793000.0
151,EMR,Emerson Electric Company,89.69,53042668370.87286,16.50761421,5.4478,85500.0,Electronic Technology,-20.14028056,12.17971576,63.62179487,3.80787037,5.4495,5.4175,4581000000.0,2181000000.0,7790000000.0,19631000000.0,5.4184,19631000000.0,3231000000.0,1.09373795,0.66597205,9062000000.0,0.81200977,35672000000.0,10866000000.0,8506000000.0,2.3258414,-1223000000.0,2.06,39.6821354,18.04289135,20.80892466,16.45866232,0.32438479,-7.15320911,-0.48818373,0.9615143,2.19040072,2.70827441,14.82272525,58543300000.0,591400000.0
152,D,"Dominion Energy, Inc.",62.69,52238023397.24659,22.49153641,2.801,17100.0,Utilities,-83.33333333,-14.49441421,-216.23931624,-10.46843759,3.9861,2.7766,7088000000.0,2388000000.0,7966000000.0,13964000000.0,3.9827,13964000000.0,3288000000.0,0.71467302,1.53970532,43654000000.0,0.56958593,103535000000.0,43994000000.0,8699000000.0,4.27542,-2036000000.0,2.52,53.23284885,24.18804952,13.82857826,11.00544291,-23.58605558,2.23418134,-19.71055328,0.4926133,1.56727214,3.112228,13.75212152,103019000000.0,833275000.0
153,DG,Dollar General Corporation,232.89,52068334976.70026,22.9487005,10.3439,163000.0,Retail Trade,-36.96532823,5.24642736,-118.39665428,-8.67058824,10.2417,10.2886,3890682000.0,2885195000.0,10813006000.0,34220449000.0,10.1743,34220449000.0,2399232000.0,1.23288501,2.69746526,16075099000.0,0.13414445,29007158000.0,16437830000.000002,8017016000.0,0.9317691,-392188000.0,1.68,31.3335751,8.79442722,8.31120994,6.48681783,-7.84662868,-5.97900686,13.51627998,0.80400676,2.09444349,1.46829211,17.69955623,74855600000.0,223575000.0
154,F,Ford Motor Company,12.89,51824171585.28185,5.9996383,2.2555,183000.0,Consumer Durables,-48.39963297,7.01183063,-61.72248804,-5.0110538,4.4944,2.2118,12209000000.0,3454000000.0,24548000000.0,136341000000.0,4.4465,136341000000.0,17937000000.0,1.19875342,3.0831096,89592000000.0,1.03003316,246919000000.0,129765000000.0,108088000000.0,4.521477,-403000000.0,0.1,11.52923499,3.88833237,4.63700111,5.93926293,-16.73126615,9.05245347,-33.2815735,1.4802598,3.1881804,0.35165465,11.70513223,134591000000.0,4020492076.0
156,GM,General Motors Company,36.29,51557087086.20184,6.44213957,5.9365,157000.0,Consumer Durables,-79.21304685,-5.45100942,103.69709745,-9.09318637,6.7795,5.8909,20670000000.0,5869000000.0,25778000000.0,127004000000.0,6.701,127004000000.0,10019000000.0,1.14264619,1.61404389,80000000000.0,0.95233887,260529000000.0,112607000000.0,98271000000.0,0.94861656,-186000000.0,0.0,12.89034108,6.26583611,7.63869548,6.57287839,-1.35906496,6.68822578,-29.1902439,1.4299597,4.77636665,0.37560474,6.69639302,131254000000.0,1420700000.0
158,SRE,DBA Sempra,161.24,50683113801.22696,22.72095472,7.1451,15390.0,Utilities,39.04833837,-6.17869995,-2194.50549451,6.4993395,4.0224,7.1225,5383000000.0,985000000.0,3644000000.0,13061000000.0,4.0059,13061000000.0,1318000000.0,0.56980602,0.90767865,25851000000.0,0.50523226,75563000000.0,26585000000.0,4465000000.0,2.8301303,-1430000000.0,4.4,26.64023786,22.4909151,11.423852,15.22960026,-1.34605972,4.49773169,18.99630996,0.70307827,1.1720684,3.37973962,14.83699991,76393100000.0,314333000.0
159,PSX,Phillips 66,106.42,50297523752.84172,4.97456216,21.9186,14000.0,Energy Minerals,613.84425216,3.71346387,45.91156875,-0.54205607,2.968,21.8572,10353000000.0,3664000000.0,3379000000.0,111944000000.0,2.9657,111944000000.0,1306000000.0,1.30130858,0.53009697,13913000000.0,1.06117884,77339000000.0,17657000000.0,23270000000.0,3.5684721,-1585000000.0,3.62,6.87478445,5.34500172,8.44890871,6.40673499,19.59991009,2.92069632,23.51439183,0.6507284,2.8664652,0.32344992,6.79786576,57979700000.0,472632000.0
161,KHC,The Kraft Heinz Company,40.37,49450429485.71806,40.35997559,0.9921,36000.0,Consumer Non-Durables,2.90791599,17.12168337,172.82051282,4.99349805,0.8268,0.9834,5373000000.0,1905000000.0,8587000000.0,26043000000.0,0.8188,26043000000.0,1012000000.0,0.90490444,0.41515835,19073000000.0,0.4979277,89992000000.0,20070000000.0,7860000000.0,4.0312424,-1959000000.0,1.6,29.9744305,17.25941423,5.40446304,4.71098714,9.0786274,-0.39476931,12.76536313,0.3058367,2.26301232,1.89900628,12.63455742,61159200000.0,1224930000.0
165,KDP,Keurig Dr Pepper Inc.,34.72,49172243464.03688,27.15604946,1.2879,27500.0,Consumer Non-Durables,22.85714286,19.32508082,1.78306092,-10.86007702,1.5159,1.2778,3415000000.0,1850000000.0,6392000000.0,12683000000.0,1.5029,12683000000.0,2146000000.0,0.59795382,0.52890323,12348000000.0,0.38766763,51440000000.0,13276000000.0,4325000000.0,2.3054755,-955000000.0,0.7125,49.89373397,19.78746794,16.63613045,13.38219128,-10.07511008,-2.60869565,-6.94183865,0.5092678,1.73611111,3.62944962,18.00612546,63469300000.0,1416250000.0
166,AEP,"American Electric Power Company, Inc.",92.87,47722522451.63759,19.31914894,4.8331,16688.0,Utilities,23.93166053,-10.6866785,-82.7828307,5.41430193,4.971,4.8175,6556800000.0,1374200000.0,4670200000.0,16623500000.0,4.9585,16623500000.0,2488100000.0,0.78740157,1.56591181,37604600000.0,0.69159542,91249400000.0,38384100000.0,9320000000.0,3.5672076,-1519500000.0,3.0,26.06257539,18.10371996,14.15390634,13.37687601,-5.59113551,-2.13909378,4.17274257,0.55825824,1.39167026,2.60606516,13.06490898,82387800000.0,513864000.00000006
171,JCI,Johnson Controls International plc,68.26,46874404269.09747,31.30968622,2.2094,102000.0,Producer Manufacturing,-27.95865633,5.51009921,247.09897611,16.42503838,2.2008,2.199,3205000000.0,2291000000.0,8315000000.0,25299000000.0,2.1898,25299000000.0,1532000000.0,1.0273156,0.58769107,8161000000.0,0.80398612,42658000000.0,10227000000.0,11546000000.0,2.033406,-916000000.0,1.39,32.86691174,9.38772283,6.75916044,6.05557532,27.13726951,5.17719569,-4.35757321,1.0433564,1.08440797,1.88106724,17.65196865,43315900000.0,686704000.0
175,NXPI,NXP Semiconductors N.V.,179.48,46509522445.9588,18.08311419,10.1299,31000.0,Electronic Technology,8.94736842,20.58212058,14.96489212,19.27166401,6.912,10.0392,4875000000.0,1836000000.00603,5475000000.05662,11063000000.114395,6.7877,11063000000.114395,1871000000.01934,2.0823237,1.51144211,7403000000.02023,1.59117738,22940000000.062702,11162000000.0305,6703000000.01832,1.8618487,-562000000.00581,2.25,52.53634395,27.96937829,24.51283637,20.62326013,-0.97655172,12.329453,-3.75375375,1.1716107,2.1807202,3.71594074,11.22571082,46728600000.0,259135000.0
176,FDX,FedEx Corporation,184.08,46461265028.49622,14.97053971,12.8533,249000.0,Transportation,-27.8052223,3.28193173,-180.0,13.66471133,14.5209,12.729,9883000000.0,4641000000.0,20167000000.0,93512000000.0,14.3571,93512000000.0,3819000000.0,1.29759954,1.57727555,33390000000.0,1.2509438,85591000000.0,38036000000.0,18217000000.0,2.4139378,-793000000.0,3.0,21.2422017,6.17381046,4.54028547,3.53593861,-21.61805408,5.20660685,-23.66260264,0.9719814,3.79650308,0.51846999,8.24514808,80038300000.0,252397000.0
177,GIS,"General Mills, Inc.",78.21,46113453876.21105,16.2765913,4.8314,32500.0,Consumer Non-Durables,12.02903278,14.46548166,-32.90661903,-3.80073801,4.4565,4.7854,3294700000.0,1680000000.0,6283500000.0,18992800000.0,4.4194,18992800000.0,2707300000.0,0.57889707,1.13190193,11096100000.0,0.34852631,31319800000.0,11740200000.0,5330600000.0,2.7731419,-1244500000.0,2.04,30.80775745,14.13420629,17.79348589,15.02024041,3.67179215,-6.40258497,14.57661881,0.27645314,1.14131829,2.42109236,17.38300253,61294900000.0,589611000.0
179,HSY,The Hershey Company,223.19,45772378268.58595,28.57142857,10.1379,18990.0,Consumer Non-Durables,26.15007102,17.68974903,22.97556175,-6.37217887,7.1469,7.6566,2537302000.0,1122543000.0,3968416000.0,8971337000.0,7.1117,8971337000.0,1477512000.0,0.7946417,1.69111797,4886111000.0,0.4451227,10832907000.0,5213852000.0,2692734000.0,1.8943135,-685987000.0,3.41,42.98540466,21.55110371,18.79395832,15.69467766,-2.18687001,-3.14615518,15.33174866,0.38354877,2.21112372,4.47083372,19.60743084,50363300000.0,205082777.0
184,A,"Agilent Technologies, Inc.",151.74,44925969244.79106,37.25086733,4.2039,18100.0,Health Technology,-21.27987664,14.90946262,-0.26385224,8.77419355,4.194,4.1795,1899000000.0,956000000.0,3686000000.0,6848000000.0,4.18,6848000000.0,1254000000.0,2.03009135,0.55061263,1868000000.0,1.47232671,10532000000.0,2921000000.0,3778000000.0,0.5780718,-250000000.0,0.84,53.82593458,23.10163551,21.96261682,18.31191589,13.70550768,-0.14477494,14.09022556,1.0613476,3.18796394,6.77506133,25.2572163,43096300000.0,296072000.0
186,CTVA,"Corteva, Inc.",62.53,44677186316.63748,34.30245056,1.8735,21000.0,Process Industries,35.55695406,13.75918237,-108.4375,-5.30062093,2.3903,1.8608,2987000000.0,678000000.0,5732000000.0,15655000000.0,2.3719,15655000000.0,1759000000.0,1.68703745,0.11373784,115000000.0,1.07983853,40651000000.0,2853000000.0,15045000000.0,0.9399969,-397000000.0,0.54,35.99275235,10.23437957,10.95329943,8.18867263,11.46167558,6.47028776,33.72540633,0.7414472,2.84611674,2.68131516,15.38701907,41428700000.0,714492000.0
188,CTAS,Cintas Corporation,436.04,44310591140.94477,35.5787538,12.5278,43000.0,Consumer Services,6.54604155,16.51231485,-9.99227259,1.66472371,11.9182,12.2902,2100917000.0,1022447000.0,3632246000.0,7854459000.0,11.6527,7854459000.0,1229625000.0,1.22714784,0.90364689,3010196000.0,0.89579253,8427007000.0,3099995000.0,1906665000.0,1.0519817,-375119000.0,3.8,46.49781413,20.26009546,19.05316515,15.28067675,2.94402342,-3.9411363,15.7587342,1.1320444,1.47424103,5.39536349,22.58336732,50737900000.0,101620000.0
190,FIS,"Fidelity National Information Services, Inc.",74.39,44141498772.21373,49.13894325,1.5417,65000.0,Commercial Services,7.44197176,32.35569648,-53.1688166,-11.36661504,0.677,1.533,5321000000.0,1456000000.0,5195000000.0,13877000000.0,0.6715,13877000000.0,417000000.0,0.77485188,0.41559925,16984000000.0,0.77485188,78317000000.0,18916000000.0,10593000000.0,2.4956856,-961000000.0,1.56,38.73817906,9.44294885,8.92524332,6.46786774,-27.77669903,8.25087311,-32.53831504,1.3062259,2.00406229,3.15629944,11.6275654,63042000000.0,593379000.0
194,ECL,Ecolab Inc.,150.46,42855231018.98706,38.81513569,3.9502,47000.0,Process Industries,3.47870478,11.14339792,-45.06186727,0.4539992,3.9466,3.9245,2367100000.0,1382100000.0,5221900000.0,12733100000.0,3.9083,12733100000.0,1129900000.0,1.35177478,1.26245786,8837800000.0,0.87389656,21037000000.0,8950700000.0,5099300000.0,1.3917153,-566400000.0,1.95,38.46713541,10.44073999,9.87882892,8.1282598,-9.16445303,2.31893914,-17.89358799,1.2762617,1.69671968,3.14180899,22.07467344,50212500000.0,284828000.0
197,MSI,"Motorola Solutions, Inc.",252.24,42175334482.86698,37.38262825,6.9972,18700.0,Electronic Technology,14.18338109,19.50801615,0.95238095,0.59020577,7.3582,6.8053,2262000000.0,1127000000.0,3812000000.0,8171000000.0,7.1717,8171000000.0,1245000000.0,1.2354034,-16.22335025,5570000000.0,0.92834395,11625000000.0,6392000000.0,4655000000.0,1.3836478,-482000000.0,2.92,45.47851003,20.20630372,15.70200573,13.46704871,6.05003153,-2.34232839,12.5267666,0.88757205,1.28596944,5.00052722,21.27342767,43994900000.0,167203000.0
199,NEM,Newmont Corporation,52.74,41861782465.3087,42.28054873,1.2628,31000.0,Non-Energy Minerals,-26.64804469,21.54224774,-107.50670241,22.59414226,1.4593,1.2611,5160000000.0,498000000.0,2376000000.0,12190000000.0,1.4557,12190000000.0,1166000000.0,2.71944923,0.28630841,2314000000.0,1.99053356,39143000000.0,6127000000.0,6320000000.0,4.1260314,-1757000000.0,2.2,13.49971172,9.20846718,6.79515691,7.9729841,16.70723611,9.26041019,-12.14392804,0.48464212,1.78503608,3.49142575,8.68549437,35908900000.0,793739000.0
