,Ticker,Description,Price,Market Capitalization,Price to Earnings Ratio (TTM),Basic EPS (TTM),Number of Employees,Sector,Free Cash Flow (Annual YoY Growth),Free Cash Flow Margin (FY),Free Cash Flow (Quarterly YoY Growth)
202,EXC,Exelon Corporation,41.75,41488727317.30032,19.25635104,2.1662,31518.0,Utilities,-30.31733543,-12.65439173,-171.85461323
203,PAYX,"Paychex, Inc.",114.69,41341908487.08343,27.96457112,4.0674,16000.0,Technology Services,19.83067121,29.769933,111.13569322
204,AJG,Arthur J. Gallagher & Co.,195.3,41177050766.58996,37.28119109,5.3061,,Finance,,,
205,BIIB,Biogen Inc.,285.94,41175759498.83142,14.77926379,19.6813,9610.0,Health Technology,-11.12220762,32.50980543,-21.14502817
206,ROST,"Ross Stores, Inc.",118.995,40978428558.23992,28.99507365,4.1408,100000.0,Retail Trade,-35.83216517,6.24335888,918.93958998
207,DOW,Dow Inc.,57.95,40782850966.25064,9.44744389,6.2947,,Process Industries,2.61437908,9.93286703,-29.8013245
208,DVN,Devon Energy Corporation,62.34,40751656664.75687,6.8719007,9.527,1600.0,Energy Minerals,1398.44559585,21.03272727,-186.06485539
209,DXCM,"DexCom, Inc.",105.49,40746369299.8229,193.22831794,0.5896,6300.0,Health Technology,-80.73029646,2.17684297,32.90229885
210,PH,Parker-Hannifin Corporation,317.3,40743136955.24797,33.26814248,9.7489,55090.0,Producer Manufacturing,-6.48436139,13.94364304,-0.62553834
211,KMI,"Kinder Morgan, Inc.",18.04,40549264326.51661,16.604378,1.1238,,Industrial Services,,,
212,MSCI,MSCI Inc,506.56,40503604401.16143,50.16547505,10.4431,3633.0,Technology Services,16.36625687,46.22547887,51.19117143
213,ET,Energy Transfer LP,13.1,40459025937.76946,9.92202005,1.3537,12558.0,Industrial Services,251.81968569,12.61847902,19.05910736
214,LHX,"L3Harris Technologies, Inc.",211.91,40348258829.67153,36.86387653,5.823,47000.0,Electronic Technology,-3.17919075,13.16380375,29.38271605
215,TT,Trane Technologies plc,175.15,40338322748.09044,25.58236994,6.9912,37000.0,Producer Manufacturing,5.72625698,9.63894627,20.29406066
216,BK,The Bank of New York Mellon Corporation,49.77,40228092086.47264,17.28173439,2.9136,,Finance,,,
217,LULU,lululemon athletica inc.,302.59,40185397109.87685,34.17661675,9.1235,29000.0,Retail Trade,74.93523143,15.68119001,-477.57288488
218,TEAM,Atlassian Corporation,156.94,40101306616.69467,,-0.897,8813.0,Technology Services,-0.46171351,28.52788665,8.02207493
219,IDXX,"IDEXX Laboratories, Inc.",482.95,39996448690.95473,61.93643567,7.9629,10350.0,Health Technology,17.0469687,19.69754553,6.41896644
220,FTNT,"Fortinet, Inc.",51.05,39882099548.48671,57.84216881,0.9291,10195.0,Electronic Technology,25.68385884,36.01819161,19.83020012
221,TEL,TE Connectivity Ltd. New Switzerland Registered Shares,125.5,39812434833.4663,17.91738136,7.0396,92000.0,Electronic Technology,-14.40080564,10.44161907,10.55555556
222,APO,"Apollo Global Management, Inc. (New)",69.26,39636364068.47332,,-5.6109,2153.0,Finance,74.60614935,71.08483536,
223,SYY,Sysco Corporation,78.1,39578542774.75542,27.59023768,2.8404,71000.0,Transportation,-18.48866118,1.87106222,-58.84983066
224,RSG,"Republic Services, Inc.",124.12,39222036939.37991,27.03558175,4.5899,35000.0,Industrial Services,15.14487079,13.01814962,50.91819699
225,HLT,Hilton Worldwide Holdings Inc.,142.92,38653576767.28049,37.5948249,3.8815,142000.0,Consumer Services,-75.49751244,3.38487973,145.55555556
226,SE,Sea Limited,64.61,38507134279.0,,-4.8354,67300.0,Retail Trade,-353.93460029,-5.64425185,
227,TDG,Transdigm Group Inc.,707.25,38456435598.22461,52.88934533,13.4373,14400.0,Electronic Technology,2.5990099,15.24737907,-9.09090909
228,PRU,"Prudential Financial, Inc.",103.25,37996000000.0,143.94993046,0.7481,40916.0,Finance,17.25621415,13.83257676,-21.02639838
229,ANET,"Arista Networks, Inc.",123.84,37842113993.46598,34.341288,3.7979,2993.0,Electronic Technology,32.14955608,32.26282438,-45.44776811
230,PCAR,PACCAR Inc.,108.78,37830152889.89298,12.81596812,8.6431,,Producer Manufacturing,195.45044232,5.67840748,63.35360556
231,WMB,"Williams Companies, Inc. (The)",31.03,37805085625.75849,19.22983034,1.6422,4783.0,Energy Minerals,21.47681225,25.52024215,12.06293706
232,XEL,Xcel Energy Inc.,68.1,37267621253.7352,21.56906008,3.1726,,Utilities,,,
233,LNG,"Cheniere Energy, Inc.",148.71,36978139296.80461,,-15.2443,1550.0,Energy Minerals,746.8013468,10.89002268,376.16033755
234,MFC,Manulife Financial Corporation,19.51,36749749465.40536,7.01586005,2.71495272,38000.0,Finance,16.33220761,39.14028297,-27.27842947
235,HAL,Halliburton Company,40.34,36630606426.62784,23.43551186,1.7363,,Industrial Services,10.70143885,6.0649357,122.13114754
236,AMP,"Ameriprise Financial, Inc.",343.46,36550052183.0657,15.34305275,22.9206,,Finance,,,
237,CARR,Carrier Global Corporation,43.58,36444274170.83493,10.54056013,4.2308,58000.0,Producer Manufacturing,37.17391304,9.18352496,38.41584158
238,YUM,"Yum! Brands, Inc.",129.04,36349003641.02022,33.65730647,4.4515,36000.0,Consumer Services,28.90829694,22.41798299,-15.69892473
239,DD,"DuPont de Nemours, Inc.",72.65,36091718020.05779,20.25278114,3.6405,28000.0,Process Industries,-52.08548776,8.34684441,-61.04100946
240,MRVL,"Marvell Technology, Inc.",41.99,35825868512.42034,,-0.1674,6729.0,Electronic Technology,-3.33429497,14.56719425,96.04920659
241,EA,Electronic Arts Inc.,128.99,35611587610.43036,40.22913155,3.2242,12900.0,Technology Services,-5.46961326,24.42541042,-885.71428571
242,ODFL,"Old Dominion Freight Line, Inc.",321.88,35561827465.84595,28.58256052,11.7548,23663.0,Transportation,-6.41492324,12.60440749,78.98839807
243,WBD,"Warner Bros. Discovery, Inc. - Series A",14.38,34920334066.2495,,-1.6632,11000.0,Consumer Services,3.76551134,19.89988511,-127.23404255
244,BNTX,BioNTech SE,140.49,34864185596.0,3.20750546,46.7335,3082.0,Health Technology,975.1104906,4.01650446,171.99650215
245,CMI,Cummins Inc.,246.82,34807167916.92066,18.53709805,13.5032,59900.0,Producer Manufacturing,-30.62898815,6.33612256,-57.04057279
246,MPLX,MPLX LP,34.67,34782430510.3231,9.22152837,3.7806,5836.0,Industrial Services,27.65096793,45.51823614,-25.0231696
247,GOLD,Barrick Gold Corporation,19.48,34323760699.91141,19.44244888,0.97905074,21300.0,Non-Energy Minerals,-33.82328873,20.63332498,-86.47950096
248,ABC,AmerisourceBergen Corporation,165.31,33999081136.88493,20.43341341,8.143,44000.0,Distribution Services,-0.96927394,0.92493302,17.26340729
249,ALL,Allstate Corporation (The),128.0,33946824704.56074,,-0.1688,54700.0,Finance,-7.94906425,9.43109038,55.0
250,ED,"Consolidated Edison, Inc.",95.05,33729715574.477394,19.91272056,4.7816,13871.0,Utilities,28.69666861,-8.92269436,30.33536585
251,OTIS,Otis Worldwide Corporation,80.96,33726806115.46009,27.92297111,2.9304,70000.0,Producer Manufacturing,22.89899769,11.14841237,-34.04907975
252,MTD,"Mettler-Toledo International, Inc.",1507.41,33606484123.61599,41.86072603,36.9516,17800.0,Health Technology,26.73816246,21.55083608,-9.24342187
253,CTSH,Cognizant Technology Solutions Corporation,65.27,33543652427.141537,14.62953068,4.5002,330600.0,Technology Services,-23.6125474,11.97384773,6.24303233
254,ILMN,"Illumina, Inc.",210.1,33048730452.535152,,-26.4522,9800.0,Health Technology,-61.19733925,7.73309766,64.50617284
255,DLTR,"Dollar Tree, Inc.",148.85,32923308594.2033,20.96391925,7.2059,210565.0,Retail Trade,-77.5130674,1.55274076,-1276.92307692
256,RMD,ResMed Inc.,222.71,32718193849.38969,40.82415385,5.5273,8160.0,Health Technology,-65.8817109,6.04539749,-46.54302483
257,AME,"AMETEK, Inc.",142.31,32682114630.888325,29.43643244,4.9184,18500.0,Producer Manufacturing,-13.0094027,18.92695123,6.3864176
258,IBKR,"Interactive Brokers Group, Inc.",77.74,32608294146.035606,20.76234866,3.7658,,Finance,,,
259,DHI,"D.R. Horton, Inc.",94.83,32563989400.78129,5.98462302,16.2545,13237.0,Consumer Durables,54.90636704,1.2353644,481.26829268
260,GEHC,GE HealthCare Technologies Inc.,71.5,32511765286.0,,,,Health Technology,32.08791209,9.83043455,
261,ROK,"Rockwell Automation, Inc.",278.5,31966910762.65448,30.98137613,9.2875,26000.0,Electronic Technology,-40.21215043,8.78899957,185.74338086
262,ALB,Albemarle Corporation,271.98,31863217018.625877,21.36152015,13.2646,6000.0,Process Industries,-1081.8746,-18.31183516,485.17449749
263,CSGP,"CoStar Group, Inc.",77.9,31681155447.851635,90.7267001,0.8594,4742.0,Technology Services,-33.44431251,16.03031682,-18.44407637
264,KR,Kroger Company (The),44.21,31646485636.68413,14.10368793,3.2368,420000.0,Retail Trade,-5.3858339,3.03217104,-70.37643208
265,KEYS,Keysight Technologies Inc.,176.91,31630703565.45562,28.70012454,6.2354,15000.0,Electronic Technology,-16.46341463,17.69372694,15.25423729
266,BF.A,Brown Forman Inc,65.67,31597583824.049843,36.01605293,1.8496,5200.0,Consumer Non-Durables,5.69536424,20.37793667,-12.21374046
267,CPRT,"Copart, Inc.",66.29,31573927052.375824,30.05107069,2.2633,9500.0,Commercial Services,58.74804649,23.93721538,-35.88547635
268,WBA,"Walgreens Boots Alliance, Inc.",36.53,31507252765.566856,,-3.4317,325000.0,Retail Trade,-48.15613027,1.63146274,-118.32298137
269,PCG,Pacific Gas & Electric Co.,15.85,31505045113.496265,19.107674,0.8856,26000.0,Utilities,79.76510067,-26.29105707,-75.51219512
270,STT,State Street Corporation,90.15,31464530082.953262,12.62453387,7.2852,,Finance,,,
271,GFS,GlobalFoundries Inc.,57.51,31347149005.666607,39.62276771,1.5329,14600.0,Electronic Technology,157.88579108,16.28976661,-90.79497908
272,DFS,Discover Financial Services,114.44,31267953435.63664,7.59113625,15.5008,,Finance,,,
273,BKR,Baker Hughes Company,31.02,31065523894.54505,,-0.5963,,Industrial Services,-26.48221344,5.27509926,66.53543307
274,GLW,Corning Incorporated,36.39,30779076257.629074,17.1882298,2.1774,61200.0,Electronic Technology,121.04607721,12.61728746,-51.2145749
275,LYB,LyondellBasell Industries NV,94.46,30758486594.41361,7.41243551,12.9232,19100.0,Process Industries,283.18462594,12.09672177,-38.87147335
276,ON,ON Semiconductor Corporation,71.02,30710720003.79856,19.11222954,3.9818,30000.0,Electronic Technology,221.93661093,19.14003383,110.38575668
277,PEG,Public Service Enterprise Group Incorporated,61.1,30485829501.782948,44.5154185,1.3719,12684.0,Utilities,-649.16201117,-11.26131287,26.38436482
278,OKE,"ONEOK, Inc.",67.28,30071054586.302467,18.93399184,3.6121,2847.0,Industrial Services,806.52010359,10.81965009,15.46971096
279,PPG,"PPG Industries, Inc.",127.65,30001245914.014137,29.39614976,4.3492,,Process Industries,,,
280,GPN,Global Payments Inc.,110.29,29822542984.682728,503.16964286,0.2284,25000.0,Commercial Services,21.81649426,26.83802058,-74.95624699
281,APTV,Aptiv PLC,109.83,29758391931.245773,95.80698259,1.1555,155000.0,Producer Manufacturing,-25.40073983,3.87373543,236.36363636
282,URI,"United Rentals, Inc.",429.04,29758040924.882683,14.58449526,29.8759,24600.0,Finance,51.32382892,6.38206494,348.75
283,NDAQ,"Nasdaq, Inc.",59.65,29304824621.14297,26.8102455,2.2863,,Finance,,,
284,WEC,"WEC Energy Group, Inc.",92.62,29215546018.7427,21.26289251,4.3741,6938.0,Utilities,-414.25233645,-2.64670515,-330.48555624
285,CPNG,"Coupang, Inc.",16.48,29174513219.581085,,-0.3418,68000.0,Retail Trade,-492.23546505,-5.8905742,15.1638745
286,GWW,"W.W. Grainger, Inc.",575.32,29070494208.92125,20.33074483,28.2897,24200.0,Distribution Services,-26.34989201,5.23729074,201.8018018
287,MBLY,Mobileye Global Inc.,36.12,28965058008.6,,-0.1833,,Technology Services,-4.60526316,23.27447833,
288,ENPH,"Enphase Energy, Inc.",212.22,28845702490.845062,101.61056297,2.1914,2260.0,Electronic Technology,53.11887055,21.69025845,77.86673554
289,DELL,Dell Technologies Inc.,40.01,28652294114.76333,16.91281363,2.4524,133000.0,Electronic Technology,-19.45308311,7.4337632,-114.31484502
290,IFF,"International Flavors & Fragrances, Inc.",111.23,28359450653.30872,,-6.8784,24000.0,Consumer Non-Durables,99.11775518,8.92244338,-47.83861671
291,ES,Eversource Energy (D/B/A),81.37,28341774283.051025,20.13833599,4.0253,9227.0,Utilities,3.80379936,-12.29311113,157.83179064
292,LEN,Lennar Corporation,99.22,28313414151.72269,6.38137281,15.8316,,Consumer Durables,,,
293,FAST,Fastenal Company,49.43,28311521249.084778,26.59856024,1.894,,Distribution Services,25.05297474,10.99045927,126.28820961
294,HPQ,HP Inc.,28.82,28305441886.981865,9.69968475,3.0478,58000.0,Electronic Technology,-36.98301013,5.91247222,-34.23019432
295,AWK,"American Water Works Company, Inc.",155.0,28183322299.6752,21.68245464,7.2418,6400.0,Utilities,18.43434343,-8.21882952,-160.71428571
296,VRSK,"Verisk Analytics, Inc.",179.41,28057562004.43336,27.97403686,6.485,9367.0,Technology Services,9.1186839,30.96778497,-0.81092616
297,FERG,Ferguson plc,139.55,27784032534.16798,14.0090252,10.0718,36000.0,Distribution Services,-24.71516214,3.00707134,729.6875
298,ALNY,"Alnylam Pharmaceuticals, Inc.",225.4,27730563897.247696,,-9.7715,1665.0,Health Technology,-5.27809537,-80.27045306,18.8467164
299,WTW,Willis Towers Watson Public Limited Company,249.81,27038839291.79466,10.9270628,22.9504,44200.0,Finance,24.7311828,20.56737589,-91.6893733
300,CEG,Constellation Energy Corporation,82.4,26946276668.339108,,-0.4616,11696.0,Utilities,-129.32072227,-13.57320983,-261.65577342
301,EFX,"Equifax, Inc.",217.35,26613079754.30168,37.93499044,5.8085,12700.0,Commercial Services,64.94570394,17.58362274,-32.92358804
302,VEEV,Veeva Systems Inc.,170.54,26551126075.4529,70.20309557,2.5614,5482.0,Technology Services,38.094444,41.16411648,22.96849964
303,EBAY,eBay Inc.,48.89,26530601326.66265,,-5.4793,10800.0,Retail Trade,13.1390593,21.10634239,553.125
304,MTB,M&T Bank Corporation,153.49,26496562516.09395,13.44612181,11.5875,,Finance,,,
305,CBRE,CBRE Group Inc,83.67,26435412118.39309,13.94903301,6.1473,105000.0,Finance,87.78481695,8.41611393,-27.45236797
306,ZBH,"Zimmer Biomet Holdings, Inc.",125.83,26405725213.905228,95.45040946,1.3238,19500.0,Health Technology,28.93247831,13.08542406,8.31973899
307,IT,"Gartner, Inc.",333.22,26332504696.808697,35.74878186,9.384,16600.0,Technology Services,52.8742113,26.46062643,-14.5090797
308,CDW,CDW Corporation,194.03,26269913112.01542,25.40748725,7.7105,13900.0,Technology Services,-40.79391161,3.2880581,13.32828474
309,CQP,"Cheniere Energy Partners, LP",53.82,26050582233.93498,,-0.5227,1550.0,Utilities,110.9114249,17.73914921,78.9346247
310,EIX,Edison International,68.14,26020940896.22985,36.43205427,1.8943,13003.0,Utilities,-30.15873016,-36.86011406,-57.17884131
311,SGEN,Seagen Inc.,139.98,25989372606.470894,,-3.4618,2675.0,Health Technology,-168.36369887,-34.10562059,-219.52828043
312,ULTA,"Ulta Beauty, Inc.",507.97,25845904317.099216,22.23067285,22.8851,40500.0,Retail Trade,24.58049251,13.79918106,-12.94800739
313,YUMC,"Yum China Holdings, Inc.",61.51,25737466043.444077,30.93675418,2.0348,450000.0,Consumer Services,29.92805755,9.1647214,335.61025711
314,FANG,"Diamondback Energy, Inc.",145.34,25579634890.1766,6.14888313,24.6152,870.0,Energy Minerals,852.12355212,36.28071208,79.47434293
315,TROW,"T. Rowe Price Group, Inc.",113.46,25354317908.582848,17.38162143,6.7224,,Finance,-35.38386576,32.70143641,-67.24968314
316,CCEP,Coca-Cola Europacific Partners plc,55.32,25269581136.77981,15.88477841,3.4716,33200.0,Consumer Non-Durables,64.85005356,12.14124827,
317,FRC,FIRST REPUBLIC BANK,140.16,25173118697.13411,17.07370231,8.316,,Finance,,,
318,HZNP,Horizon Therapeutics Public Limited Company,110.05,24977233587.857277,45.48369856,2.5092,1890.0,Health Technology,148.46696524,29.71336563,-8.32950991
319,DAL,"Delta Air Lines, Inc.",38.4,24621632521.518204,18.93702327,2.0635,,Transportation,,,
320,TSCO,Tractor Supply Company,222.79,24610105390.844864,23.24529779,9.7816,,Retail Trade,14.3685245,4.10856478,1862.68140317
321,FITB,Fifth Third Bancorp,35.8,24572982176.941826,10.76519353,3.3804,19319.0,Finance,,,
322,HRL,Hormel Foods Corporation,44.78,24468875089.440857,24.67161308,1.835,20000.0,Consumer Non-Durables,11.24613069,6.8711159,-40.12082566
323,HIG,"Hartford Financial Services Group, Inc. (The)",76.55,24350472829.873417,13.34598906,5.8296,18100.0,Finance,5.40324727,17.68646717,18.36407378
324,TTD,"The Trade Desk, Inc.",49.22,24094320635.03599,,-0.0201,1967.0,Technology Services,5.07665835,30.57125688,11.66083729
325,RJF,"Raymond James Financial, Inc.",111.75,24033356425.15657,15.57900312,7.3588,22043.0,Finance,-100.44636215,-0.26843236,
326,CRWD,"CrowdStrike Holdings, Inc.",101.37,23760904569.251274,,-0.7662,4965.0,Technology Services,49.45616063,30.99179247,40.1469712
327,VMC,Vulcan Materials Company (Holding Company),178.38,23707925749.75765,40.12408119,4.4692,11437.0,Non-Energy Minerals,-20.83765789,10.09689853,21.9586332
328,ACGL,Arch Capital Group Ltd.,63.99,23668173414.84156,20.52481497,3.1982,5200.0,Finance,18.95319839,38.11708526,35.9544374
329,FE,FirstEnergy Corp.,41.3,23613405816.72326,18.78702269,2.1985,12395.0,Utilities,129.65964344,3.2878189,-195.27027027
330,GPC,Genuine Parts Company,166.61,23518892275.50271,19.9291419,8.3729,52000.0,Distribution Services,-46.83185258,5.25766924,41.88211447
331,DTE,DTE Energy Company,114.33,23509583494.964165,19.65088921,5.8022,10300.0,Utilities,-405.14705882,-4.56205591,-59.18918919
332,RPRX,Royalty Pharma plc,38.64,23463067405.25244,33.52292313,1.1604,66.0,Health Technology,-1.54431376,88.14551709,14.70285827
333,DDOG,"Datadog, Inc.",73.84,23448618217.3083,,-0.0437,3200.0,Technology Services,166.78209036,26.88504098,15.38833815
334,FTV,Fortive Corporation,66.23,23432721677.920307,35.00679135,1.9374,18000.0,Electronic Technology,-33.05657605,17.33876339,22.24432949
335,K,Kellogg Company,68.09,23237833553.86243,15.55095468,4.3817,31000.0,Consumer Non-Durables,-22.48480756,8.09533883,-16.80911681
336,VRSN,"VeriSign, Inc.",216.19,22919698201.28364,29.06005639,7.5257,904.0,Technology Services,9.80375312,56.80420556,4.28964171
337,PFG,Principal Financial Group Inc,93.39,22850927468.82816,4.51284986,20.9314,18600.0,Finance,-14.90164747,21.65718973,24.83796551
338,SIRI,Sirius XM Holdings Inc.,5.87,22831584559.814182,20.2739726,0.2956,5590.0,Consumer Services,-3.25392214,19.14673413,-9.63541667
339,ANSS,"ANSYS, Inc.",261.56,22785077601.507484,49.92137482,5.3831,5100.0,Technology Services,2.83705122,27.61104832,-18.97347672
340,BAX,Baxter International Inc.,45.14,22756011019.06391,,-4.7112,60000.0,Health Technology,27.61000863,11.56914894,-75.40322581
341,TSN,"Tyson Foods, Inc.",64.1,22487892271.056,7.23318549,9.163,142000.0,Consumer Non-Durables,-69.59331053,1.50144514,-72.06235012
342,AEE,Ameren Corporation,86.91,22468163288.459396,21.8190009,4.0133,9116.0,Utilities,-18.44783715,-29.12105099,-57.79816514
343,IR,Ingersoll Rand Inc.,55.31,22396443211.632053,36.29368805,1.5531,16000.0,Producer Manufacturing,-36.78780236,10.70180887,150.94339623
344,LH,Laboratory Corporation of America Holdings,251.12,22249231883.47558,13.57251126,18.8739,75500.0,Health Services,51.07208029,16.43332568,-58.38337182
345,DASH,"DoorDash, Inc.",56.56,21957547180.99676,,-2.4142,8600.0,Technology Services,319.32773109,10.2086743,103.38983051
346,ETR,Entergy Corporation,107.69,21913154927.755768,17.64514925,6.1876,12369.0,Utilities,-67.061506,-35.20993246,-189.57145911
347,PPL,PPL Corporation,29.45,21684573272.05198,31.26846771,0.949,5607.0,Utilities,-37.60504202,5.13574269,176.47058824
348,RF,Regions Financial Corporation,23.2,21679137976.512817,10.278034,2.2953,,Finance,,,
349,MLM,"Martin Marietta Materials, Inc.",347.37,21568444977.918667,25.72176537,13.5605,10000.0,Non-Energy Minerals,3.50521437,13.19911341,-19.36741768
350,ZM,"Zoom Video Communications, Inc.",73.5,21485685165.35401,32.48346257,2.3407,6787.0,Technology Services,6.58965758,36.33486379,-26.50057311
351,HBAN,Huntington Bancshares Incorporated,14.84,21410176640.25849,10.3524381,1.4741,,Finance,,,
352,RBLX,Roblox Corporation,35.53,21346986112.83577,,-1.312,,Technology Services,42.93136151,31.29350489,-128.98120412
353,BMRN,BioMarin Pharmaceutical Inc.,114.7,21316870827.249084,281.83129056,0.4546,3045.0,Health Technology,821.86409645,11.31901723,64.72308046
354,PWR,"Quanta Services, Inc.",149.1,21306561996.79,51.18755119,3.023,43700.0,Industrial Services,-77.03794141,1.5141354,518.43626622
355,TECK,Teck Resources Ltd,41.34,21184106518.056324,6.66284763,6.1175316,10600.0,Energy Minerals,84.39218388,-2.78169275,122.47010065
356,LUV,Southwest Airlines Company,35.47,21060384917.916664,45.85020243,0.9088,,Transportation,-107.39922695,-0.56269421,-1292.1875
357,STLD,"Steel Dynamics, Inc.",119.09,20908799405.853863,5.71781595,20.9385,,Non-Energy Minerals,196.47799435,15.95407689,53.88749186
358,CFG,"Citizens Financial Group, Inc.",42.29,20827443426.776623,10.60068076,4.1046,,Finance,,,
359,ALGN,"Align Technology, Inc.",265.82,20763825941.46493,41.63766569,6.5,22540.0,Health Technology,52.08158373,19.51751057,-17.13963671
360,HPE,Hewlett Packard Enterprise Company,16.01,20521887705.01549,24.83458994,0.6635,60200.0,Electronic Technology,-56.33719205,5.23338551,-6.86184812
361,BIP,Brookfield Infrastructure Partners LP Limited Partnership,34.92,20509554616.59647,51.00145138,0.689,44000.0,Utilities,-33.36483932,6.11077403,-124.56965582
362,QSR,Restaurant Brands International Inc.,66.59,20370189619.03846,22.73446477,2.88035586,5700.0,Consumer Services,98.06673425,27.89684609,-26.34023063
363,STE,STERIS plc (Ireland),203.23,20287019190.50248,,-0.0844,16000.0,Health Technology,-13.20040591,8.2828942,-77.65965348
364,NU,Nu Holdings Ltd.,4.4,20247881604.21053,,-0.0287,6075.0,Technology Services,31.9602727,302.00787296,-21.90813315
365,CAH,"Cardinal Health, Inc.",77.24,20247233612.97542,,-3.9712,46500.0,Distribution Services,34.79546575,1.5080586,93.40813464
366,HOLX,"Hologic, Inc.",82.15,20195244490.975964,16.17497656,5.1658,6944.0,Health Technology,-8.08113329,41.09772148,-67.67343086
367,HEI,Heico Corporation,169.31,20177840866.38173,66.81322132,2.5854,6500.0,Electronic Technology,7.24375235,19.73779186,31.17626682
368,DOV,Dover Corporation,143.31,20114125146.8306,18.0128468,8.1095,25000.0,Producer Manufacturing,0.56244263,11.94372487,-34.35694439
369,MKC,"McCormick & Company, Incorporated",74.68,20005121263.00699,29.49637437,2.543,14200.0,Consumer Non-Durables,-29.22042522,6.13337532,-16.63490335
370,NTRS,Northern Trust Corporation,95.38,19878685472.20782,15.83551913,6.1568,,Finance,,,
371,PODD,Insulet Corporation,286.2,19876217925.96567,1206.16814533,0.2446,2300.0,Health Technology,-300.0,-16.3815071,148.21092279
372,LCID,"Lucid Group, Inc.",11.75,19745065864.14141,,-1.1366,3900.0,Consumer Durables,-42.68453977,-5419.69680204,17.41061454
373,CHD,"Church & Dwight Company, Inc.",80.59,19653350851.77863,26.65706052,3.032,5100.0,Consumer Non-Durables,-1.83980256,16.85902006,-43.01559792
374,TDY,Teledyne Technologies Incorporated,418.86,19632426668.81076,25.56014187,,,Electronic Technology,,,
375,CTRA,Coterra Energy Inc.,24.66,19443604698.63956,5.14795545,4.943,936.0,Energy Minerals,363.96031385,25.58583106,2045.90869658
376,WST,"West Pharmaceutical Services, Inc.",261.82,19383314961.42052,32.36385542,8.4731,10065.0,Health Technology,10.90238175,11.67908998,-10.9775641
377,WAT,Waters Corporation,324.32,19267064585.02519,29.05929971,11.5311,7800.0,Health Technology,-5.19556787,21.03497861,-9.1341765
378,EPAM,"EPAM Systems, Inc.",334.89,19260691840.522537,49.71605801,7.1261,58824.0,Technology Services,-2.85686776,13.96002921,22.51706744
379,JBHT,"J.B. Hunt Transport Services, Inc.",185.79,19236217727.996086,20.81314766,,,Transportation,,,
380,MPWR,"Monolithic Power Systems, Inc.",407.62,19134498917.437363,52.46417595,8.401,2773.0,Electronic Technology,6.31634019,18.67572226,-125.66619633
381,BBY,"Best Buy Co., Inc.",86.38,19112823266.042496,12.73205584,6.7353,105000.0,Retail Trade,-40.31798766,4.85887058,1335.71428571
382,SPOT,Spotify Technology S.A.,100.0,19006980498.82629,,-1.0237,,Technology Services,62.11500723,2.92718245,-72.93329308
383,PAYC,"Paycom Software, Inc.",315.76,18952030404.77731,74.9134023,4.3146,5385.0,Technology Services,49.2581045,18.8219311,-35.4327118
384,TTWO,"Take-Two Interactive Software, Inc.",112.66,18906502117.75796,,-0.086,7799.0,Technology Services,-88.2211775,2.8344556,-102.07810044
385,CNP,"CenterPoint Energy, Inc (Holding Co)",29.84,18785343487.96772,12.28113644,2.4271,12901.0,Utilities,-503.07101727,-37.6197318,-255.0
386,MKL,Markel Corporation,1395.21,18766135062.619465,,-9.6061,20300.0,Finance,30.10060588,16.58276297,9.72840293
387,WAB,Westinghouse Air Brake Technologies Corporation,102.87,18708746144.949966,28.59638421,3.6167,25000.0,Producer Manufacturing,45.68206396,12.05574022,-22.13671344
388,GRMN,Garmin Ltd.,97.36,18660401701.921574,19.74510824,5.0145,18700.0,Electronic Technology,-25.80195522,14.14431057,-49.02673954
389,INCY,Incyte Corporation,83.65,18610071889.324387,21.77780037,3.9586,2094.0,Health Technology,282.21861798,19.03654295,20.4646886
390,WMG,Warner Music Group Corp.,36.11,18591375467.721832,33.6690512,1.0624,6200.0,Commercial Services,11.86131387,10.35647913,90.67357513
391,WRB,W.R. Berkley Corporation,69.78,18524925044.361168,13.99571353,4.9893,,Finance,,,
392,LPLA,LPL Financial Holdings Inc.,232.45,18503108317.974785,29.76916069,7.9416,5900.0,Finance,-60.0025149,3.2134628,900.74193156
393,LYV,"Live Nation Entertainment, Inc.",79.44,18341096818.23196,110.71920639,0.8353,10200.0,Consumer Services,225.49466747,25.96869687,-263.49795961
394,CHWY,"Chewy, Inc.",43.26,18314052948.656067,,-0.0494,21300.0,Retail Trade,80.04162191,0.30164981,1406.12487611
395,ICLR,ICON plc,223.99,18287726468.186478,40.56878777,5.6978,38330.0,Commercial Services,36.79247845,12.86419237,-30.23114178
396,RKT,"Rocket Companies, Inc.",9.27,18267999430.23077,11.27303384,0.8872,,Finance,527.51407735,76.2511468,300.01522835
397,XYL,Xylem Inc.,101.1,18220396064.47569,58.14362759,1.7697,17300.0,Producer Manufacturing,-48.51794072,6.3473745,129.23076923
398,NIO,NIO Inc.,12.02,18210785655.70951,,-1.0118,,Consumer Durables,-374.62194244,-5.84556472,
399,FSLR,"First Solar, Inc.",170.78,18206106025.808643,203.52927826,0.8914,4800.0,Electronic Technology,20.23187489,-10.35555797,-167.00662383
400,CMS,CMS Energy Corporation,62.67,18190067440.04657,14.02977032,4.4631,9778.0,Utilities,75.16908213,-3.50661755,-132.58928571
401,MGA,"Magna International, Inc.",63.44,18132372343.65389,20.8142319,2.9865058,158000.0,Producer Manufacturing,-48.5790689,3.21885448,-639.29559328
